FCID,LON,LAT,B3,B4,B5,ASPTR,DEM,TPI450,ANNPRE,SLPPCT,SMRTMP,SMRVP,SERIES
35593,-120.0106885,48.93110286,0.363425512,0.39259379299999997,0.193260634,1.420206602,2064.1177199999997,22.04012784,985.0,1.9090909090000001,1252.0,79040.0,30
35617,-120.51412020000001,48.81914557,0.457883356,0.49058489299999997,0.157999337,0.83939399,2019.1518449999999,-40.66350301,1236.0,14.33333333,1244.5,72680.0,30
35627,-120.5153045,48.51654278,0.277144817,0.33655552,0.089737736,0.381344591,1998.1241940000002,-20.21767578,1364.0,27.7,1215.0,74640.0,30
35628,-120.518452,48.51419908,0.170576838,0.20699772800000002,0.07711203700000001,0.8853845140000001,1952.515222,-24.58150635,1364.0,10.0,1215.0,74640.0,30
35642,-120.70781000000001,48.70239535,0.433549466,0.45636046700000005,0.158353363,1.966679875,2129.137784,54.61321467,1415.0,37.36363636,1258.0,77120.0,30
35645,-120.7115487,48.69818687,0.3831241,0.42624027200000003,0.146291996,0.005136592,1984.970757,4.042833116000001,1418.666667,30.88888889,1278.333333,78106.66667,30
35646,-120.7315664,48.66438529,0.23504854600000002,0.298785161,0.126497714,0.568769086,1695.753584,-0.847090288,1355.0,6.090909091,1445.5,83640.0,23
35647,-120.7396862,48.66898931,0.427404027,0.478182806,0.182621363,1.554050401,1609.721269,-29.64841531,1325.0,11.90909091,1509.0,87080.0,23
35648,-120.734298,48.66828082,0.192347502,0.27981192899999996,0.14864066199999998,1.228080222,1619.749403,-12.22111003,1325.0,24.33333333,1509.0,87080.0,23
35649,-120.73028590000001,48.66506114,0.209474562,0.272785336,0.131000599,0.52583436,1702.940445,-7.841217041,1355.0,11.625,1445.5,83640.0,23
35651,-120.7147791,48.64125528,0.177383328,0.21730440899999998,0.12580935199999999,1.2707969270000001,1233.235311,-88.00454712,1233.0,15.33333333,1680.5,89320.0,22
35652,-120.7146743,48.64026273,0.23227915899999999,0.275279585,0.153406359,1.562122403,1275.261826,-62.98599243,1233.0,25.125,1680.5,89320.0,22
35653,-120.71387079999998,48.64121902,0.162241227,0.206931786,0.120919408,1.3303440690000001,1233.611267,-81.75126139,1233.0,16.33333333,1680.5,89320.0,22
35656,-120.6416278,48.64567333,0.21442424399999999,0.329001334,0.173235855,0.596973166,1031.445672,-35.80419244,1084.0,16.0,1864.5,92240.0,22
35658,-120.7483436,48.7169955,0.166082358,0.266087489,0.099333265,1.8996645280000002,1300.181951,-7.553056197,1315.0,24.09090909,1585.0,89040.0,22
35659,-120.744598,48.713494399999995,0.127156626,0.225105141,0.090560125,1.9545152380000002,1254.092896,-32.36813965,1303.3,22.9,1596.25,89196.0,22
35686,-120.4066973,48.44500981,0.11903991900000001,0.169655147,0.079836562,1.8249337909999999,1760.013072,64.51243083,1214.0,26.33333333,1580.5,85320.0,23
35690,-120.4594352,48.42427727,0.19182274,0.26418342300000003,0.09163929400000001,1.9177687909999999,1977.316309,53.49353027,1308.0,27.1,1481.75,82540.0,30
35703,-119.9491642,48.62888636,0.29292167,0.333995869,0.15720619,1.4503326509999999,2023.980489,34.3518575,996.0,11.66666667,1266.0,80440.0,30
35704,-119.9551838,48.62318981,0.44395483399999996,0.471305484,0.174535807,0.059517829,2003.6183079999998,30.02529075,991.0,18.27272727,1324.5,81760.0,30
35706,-119.9548511,48.70895536,0.334100225,0.353046098,0.185922963,0.165237423,2117.26598,36.96968217,1007.0,9.0,1221.0,79960.0,30
35707,-119.96146999999999,48.706374,0.328408214,0.367557439,0.170171861,1.131906586,2109.628076,20.98818359,1007.0,14.0,1221.0,79960.0,30
35712,-120.5463624,48.34332295,0.411585531,0.448365236,0.16588172199999998,0.7953202770000001,1557.915783,-33.91289728,1376.0,17.63636364,1521.5,82920.0,22
35713,-120.5572344,48.34035064,0.498327491,0.537455469,0.22911620600000002,1.0244184859999999,1662.695142,-20.31920166,1376.0,30.7,1521.5,82920.0,22
35802,-119.9488355,48.97265171,0.195190525,0.231128736,0.07082580000000001,1.20283653,2136.090088,30.94500178,988.0,20.72727273,1191.5,76960.0,30
35803,-119.9503926,48.97657997,0.257381597,0.354386625,0.09113070699999999,0.709565991,2046.278955,-26.3668457,988.0,8.6,1191.5,76960.0,30
35804,-119.952924,48.97961979,0.389440534,0.47576782100000004,0.137052893,0.370574284,2143.295654,-3.8077947439999997,1013.0,19.18181818,1123.5,75040.0,30
35808,-119.9020961,48.9470338,0.281068021,0.337946112,0.117272766,1.947767069,2095.551575,-1.1206665040000001,977.5,17.83333333,1182.083333,77203.33333,30
35811,-119.8975963,48.94551018,0.290441981,0.278686205,0.13135095800000002,0.923597343,2147.335254,33.26948242,980.0,17.0,1167.5,76920.0,30
35812,-119.96587279999999,48.9023119,0.382486815,0.39805033100000003,0.17743852699999998,0.36147293399999997,2092.310282,14.74308268,1015.666667,4.083333333,1192.666667,78386.66667,30
35813,-119.9734983,48.90270079,0.461712959,0.45272805299999996,0.192219091,1.4339646769999999,2076.478475,-9.063456217,1021.0,17.75,1181.0,78040.0,30
35814,-119.96662990000002,48.90655783,0.503175926,0.521890712,0.21056450300000001,0.558513849,2105.1795899999997,-14.38825684,1013.0,11.5,1198.5,78560.0,30
35890,-119.92629860000001,48.66299561,0.308274808,0.36774494399999996,0.165825806,0.281238085,2271.472789,0.145507813,1096.090909,25.63636364,1023.181818,74883.63636,30
35891,-119.9194713,48.66001969,0.45126676,0.48082276,0.224523182,1.408124519,2187.751294,8.412353516,987.0,30.7,1205.0,79200.0,30
35897,-120.607431,48.84865234,0.20782132,0.301359615,0.11392308300000001,0.06103669900000001,1898.5090329999998,24.58640137,1171.0,33.5,1519.5,80560.0,30
35899,-120.6012084,48.84678657,0.36669580799999996,0.409022293,0.160561177,1.877392891,2019.216786,9.512240323,1242.0,37.90909091,1304.0,72600.0,30
35900,-120.60158999999999,48.84907961,0.20914841899999997,0.23255999800000002,0.096684172,1.989222047,1972.0907350000002,3.000402832,1242.0,23.7,1304.0,72600.0,30
