PLTID,ANNPRE,ANNTMP,AUGMAXT,DECMINT,SMRTP,LAT,LON,ASPTR,DEM,PRR,SLPPCT,TPI150,TPI300,TPI450,TC1,TC2,TC3,NBR
157528,754,694,2309,-325,224,4513,-12194,25,1053,20123,50,0,-17,-46,2100,1704,-850,606
157530,772,953,2626,-56,270,4407,-12225,153,821,10706,12,15,13,5,1503,1211,-255,723
157531,711,854,2707,-287,271,4269,-12233,1,1149,17342,5,1,0,-5,1474,1610,-137,773
157533,705,732,2579,-404,252,4237,-12236,197,1380,15183,13,-3,-4,-18,2208,186,-1941,-183
157534,766,730,2412,-285,229,4483,-12196,9,1067,16049,12,-1,-12,-45,1807,1629,-212,825
157536,755,613,2264,-411,208,4498,-12195,98,1317,18347,19,5,12,7,1604,1315,-170,795
157538,741,776,2511,-334,254,4498,-12184,0,953,16519,3,4,11,22,1446,1165,-227,724
157540,784,893,2565,-93,249,4464,-12220,157,837,10140,54,13,32,6,2180,1870,-160,810
157543,747,420,2166,-677,182,4380,-12194,195,1690,15464,13,-1,-9,-15,1289,901,-437,628
157544,768,528,2198,-520,192,4449,-12179,4,1586,17417,9,6,8,24,2648,828,-1481,206
157550,748,459,2209,-627,189,4375,-12194,105,1692,17365,11,0,2,4,1431,917,-627,498
157566,769,723,2412,-302,224,4449,-12203,3,1109,16594,2,0,-6,-16,1773,1274,-793,631
157568,756,926,2747,-188,277,4417,-12204,100,547,14796,4,0,-2,-21,1543,1048,-195,663
157570,771,767,2399,-219,229,4452,-12204,145,1177,15311,25,4,5,7,2812,1409,-1247,412
157575,634,832,2638,-406,335,4539,-12135,93,944,17031,8,2,14,22,2960,987,-1527,217
157582,791,801,2238,-158,214,4530,-12209,142,803,12969,14,-11,-27,-30,1908,1632,-283,768
157583,753,625,2289,-394,220,4500,-12181,11,1288,17235,21,-1,-5,-7,2484,1835,-969,524
