PLTID,ANNPRE,ANNTMP,AUGMAXT,DECMINT,SMRTP,LAT,LON,ASPTR,DEM,PRR,SLPPCT,TPI150,TPI300,TPI450,TC1,TC2,TC3,NBR
156928,705,504,2254,-569,227,4227,-12206,11,1988,19387,22,0,-2,-6,1764,1450,-312,672
156929,762,895,2311,-46,234,4521,-12215,8,641,15985,38,3,-34,-30,1811,1523,-354,761
156931,738,542,2068,-430,202,4520,-12167,2,1361,19848,43,3,13,39,2016,1688,-565,633
156933,747,651,2299,-343,214,4366,-12218,2,1662,14553,40,16,87,160,1294,1041,-726,488
156935,748,988,2734,-54,279,4378,-12231,139,988,9778,50,9,17,53,1029,832,-154,752
156937,750,1024,2715,-23,285,4415,-12251,114,412,9724,54,9,10,9,1298,1075,-165,791
156938,725,571,2306,-520,234,4242,-12223,47,1891,16024,15,1,7,20,1526,916,-492,511
156941,744,1045,2740,-23,291,4398,-12251,1,422,14798,11,-23,-45,-51,1846,1622,-518,724
156942,787,685,2232,-285,203,4397,-12225,31,1374,15665,30,5,1,-38,1410,1204,-190,779
156945,806,722,2160,-252,203,4542,-12198,13,1040,16079,8,2,7,17,1448,1131,-297,731
156947,764,666,2275,-320,213,4471,-12195,0,1422,18485,38,5,11,24,1892,1520,-1407,445
156957,644,792,2736,-448,306,4453,-12168,195,994,14770,11,2,3,-2,2575,1483,-736,515
156995,713,948,2822,-187,292,4284,-12252,1,1035,17858,21,-8,-27,-26,1851,1505,-361,717
157001,732,758,2621,-385,246,4326,-12222,11,1306,17766,8,0,-4,-3,1393,1152,-266,729
157005,716,984,2788,-115,292,4321,-12252,55,890,12622,61,-13,15,17,1287,834,-261,669
157007,718,651,2483,-470,234,4321,-12218,180,1562,15567,8,0,0,0,1368,845,-494,509
157009,730,1036,2738,10,292,4337,-12279,3,933,18350,59,-8,-8,13,1850,1207,-1130,608
157031,705,582,2444,-586,244,4286,-12196,47,1783,17515,21,5,15,22,1880,999,-869,417
157033,792,829,2360,-143,229,4385,-12248,2,1160,16082,14,-15,-54,-82,1427,1172,-456,679
157040,741,835,2538,-202,245,4365,-12228,38,1121,10170,55,-7,-13,-30,1400,1294,-189,855
157042,757,981,2622,-16,277,4400,-12258,157,606,7846,18,-20,-45,-67,1241,1019,-430,746
157048,726,989,2874,-150,289,4349,-12231,79,842,14470,16,0,0,-2,1901,688,-1287,207
157053,776,692,2299,-320,213,4508,-12212,126,1317,7780,73,20,33,75,859,729,-151,804
157056,752,469,1965,-492,184,4532,-12156,110,1548,9963,60,0,5,23,1033,819,-70,808
157064,767,925,2728,-176,270,4412,-12204,76,701,15386,52,-30,-53,-65,1797,1893,-425,728
157067,758,817,2446,-306,257,4552,-12176,109,796,18248,38,-3,-19,-35,2212,1871,-178,644
157070,779,747,2334,-232,218,4385,-12224,197,1352,10728,19,-3,5,-1,1632,1405,-358,727
157073,754,1043,2795,-25,292,4386,-12242,36,591,18813,39,-11,-16,-11,1618,1349,-467,788
157078,686,413,2242,-694,212,4362,-12177,29,1837,16735,10,0,0,2,3015,1459,-1393,478
157080,772,557,2072,-424,189,4530,-12174,50,1275,15567,8,0,-2,-2,1840,1026,-664,489
157083,721,1046,2858,-49,301,4351,-12242,3,847,15148,41,11,43,78,2285,601,-2101,86
157084,674,572,2384,-565,247,4417,-12162,178,1498,15995,8,0,-7,-10,1828,557,-981,217
157092,713,532,2441,-648,221,4333,-12198,93,1554,11251,42,-2,-16,-36,1280,965,-129,749
157093,650,801,2595,-402,314,4512,-12146,116,938,15750,10,-4,-8,-15,2004,1383,-639,771
157094,751,615,2233,-361,206,4356,-12224,109,1629,18785,65,-3,19,-1,1744,1269,-213,617
157104,696,531,2451,-707,229,4345,-12198,114,1503,12427,30,-3,-2,0,1399,825,-512,497
157160,727,660,2503,-465,230,4308,-12226,41,1498,17850,9,11,15,5,1729,740,-778,371
157163,697,1108,2945,-31,335,4292,-12280,0,774,17202,39,-4,2,4,1638,1155,-700,386
157166,724,1051,2771,2,300,4331,-12275,27,817,14566,58,-9,-37,-80,1535,1187,-180,704
157169,722,956,2722,-115,284,4326,-12270,67,931,19080,46,4,-19,-40,2354,1174,-902,469
157175,730,773,2631,-336,256,4301,-12242,194,1369,11805,74,10,-37,-51,1461,1082,-996,473
